#
#   script category table for language identificatioin
#   

######################################################################
#
#   Below the comments, the first line defines the script category for this table.
#
#   The available category below are defined in "source/include/script_table.h"
#
#   ALPHABET        alphabet such as "A", including half and full width
#   SIMPLIFIED      Chinese simplified ideograph, such as "国"
#   TRADITIONAL     Chinese traditional ideograph, such as "國"
#   KANA            Japanese Hiragana and Katakana, such as "あ" and "ア"
#   HANGUL          Korean Hangual, such as "가"
#   OTHER           other character types
#
######################################################################

TRADITIONAL


# CODE(UCS2 in HEX base)
# The first value in each line is labled as the above category.

0x9312	# 錒
0x9384	# 鎄
0x769A	# 皚
0x566F	# 噯
0x85F9	# 藹
0x9744	# 靄
0x611B	# 愛
0x5B21	# 嬡
0x7919	# 礙
0x66D6	# 曖
0x74A6	# 璦
0x83F4	# 菴
0x8AF3	# 諳
0x9D6A	# 鵪
0x978C	# 鞌
0x57B5	# 垵
0x92A8	# 銨
0x95C7	# 闇
0x667B	# 晻
0x7FF6	# 翶
0x7FFA	# 翺
0x9C32	# 鰲
0x9F07	# 鼇
0x8956	# 襖
0x5ABC	# 媼
0x5DB4	# 嶴
0x5967	# 奧
0x9A41	# 驁
0x9200	# 鈀
0x57BB	# 垻
0x58E9	# 壩
0x7F77	# 罷
0x9B81	# 鮁
0x8987	# 覇
0x64FA	# 擺
0x5504	# 唄
0x6557	# 敗
0x7CBA	# 粺
0x9812	# 頒
0x5C85	# 岅
0x95C6	# 闆
0x9211	# 鈑
0x8FA6	# 辦
0x7D46	# 絆
0x5E6B	# 幫
0x7D81	# 綁
0x7253	# 牓
0x8255	# 艕
0x8B17	# 謗
0x938A	# 鎊
0x9F59	# 齙
0x88E6	# 裦
0x5BF6	# 寶
0x98FD	# 飽
0x9D07	# 鴇
0x7DE5	# 緥
0x5831	# 報
0x9B91	# 鮑
0x76C3	# 盃
0x686E	# 桮
0x9D6F	# 鵯
0x8C9D	# 貝
0x72FD	# 狽
0x5099	# 備
0x63F9	# 揹
0x92C7	# 鋇
0x8A96	# 誖
0x618A	# 憊
0x8F29	# 輩
0x97DD	# 韝
0x9029	# 逩
0x7287	# 犇
0x8CC1	# 賁
0x931B	# 錛
0x7DB3	# 綳
0x7E43	# 繃
0x506A	# 偪
0x7C83	# 粃
0x7B46	# 筆
0x5E63	# 幣
0x7562	# 畢
0x9589	# 閉
0x55F6	# 嗶
0x84FD	# 蓽
0x6583	# 斃
0x924D	# 鉍
0x7BF3	# 篳
0x6F77	# 潷
0x75FA	# 痺
0x8E55	# 蹕
0x95E2	# 闢
0x7358	# 獘
0x908A	# 邊
0x7C69	# 籩
0x7DE8	# 編
0x9BFF	# 鯿
0x8CB6	# 貶
0x8B8A	# 變
0x7DF6	# 緶
0x8FAF	# 辯
0x8FAE	# 辮
0x6A19	# 標
0x98AE	# 颮
0x9A43	# 驃
0x81D5	# 臕
0x93E2	# 鏢
0x98C6	# 飆
0x98C7	# 飇
0x98C8	# 飈
0x9463	# 鑣
0x9336	# 錶
0x9C3E	# 鰾
0x9C49	# 鱉
0x9F08	# 鼈
0x5225	# 別
0x5F46	# 彆
0x765F	# 癟
0x8CD3	# 賓
0x8CD4	# 賔
0x5110	# 儐
0x6FF1	# 濱
0x7E7D	# 繽
0x6AB3	# 檳
0x944C	# 鑌
0x7015	# 瀕
0x64EF	# 擯
0x6BAF	# 殯
0x81CF	# 臏
0x9AD5	# 髕
0x9AE9	# 髩
0x9B22	# 鬢
0x6C37	# 氷
0x9905	# 餅
0x7A1F	# 稟
0x4E26	# 並
0x4F75	# 併
0x7ADD	# 竝
0x64A5	# 撥
0x525D	# 剝
0x7F3D	# 缽
0x9262	# 鉢
0x9911	# 餑
0x99C1	# 駁
0x99EE	# 駮
0x9238	# 鈸
0x9251	# 鉑
0x613D	# 愽
0x9D53	# 鵓
0x923D	# 鈽
0x8514	# 蔔
0x88DC	# 補
0x4F48	# 佈
0x9208	# 鈈
0x8CA1	# 財
0x57F0	# 埰
0x5BC0	# 寀
0x63A1	# 採
0x7DB5	# 綵
0x5038	# 倸
0x8DF4	# 跴
